"mimetika"	"mimedroid"	"amount"
"2"	"application/xhtml+xml"	"application/dbase"	58
"3"	"text/html"	"application/dbase"	1
"4"	"text/plain"	"application/dbase"	13
"7"	"text/html"	"application/inf"	4
"8"	"text/plain"	"application/inf"	1080
"9"	"application/vnd.android.package-archive"	"application/java-archive"	1371
"10"	"application/x-tika-java-enterprise-archive"	"application/java-archive"	8
"11"	"application/x-tika-java-web-archive"	"application/java-archive"	315
"12"	"application/zip"	"application/java-archive"	331
"13"	"application/x-123"	"application/lotus123"	1991
"14"	"application/vnd.lotus-wordpro"	"application/lwp"	1702
"16"	"text/html"	"application/msword"	36
"17"	"text/plain"	"application/msword"	416
"149"	""	"application/pdf"	2010
"151"	"application/xhtml+xml"	"application/pdf"	2
"152"	"video/x-ms-wmv"	"application/pdf"	2
"153"	"text/plain"	"application/qif"	4
"154"	"application/xhtml+xml"	"application/rtf"	7
"156"	"application/x-123"	"application/vnd.lotus-1-2-3"	30461
"157"	"audio/x-ms-wma"	"application/vnd.ms-asf"	7097
"158"	"video/x-ms-asf"	"application/vnd.ms-asf"	9679
"159"	"video/x-ms-wmv"	"application/vnd.ms-asf"	235
"162"	"application/x-bzip"	"application/x-bzip2"	35599
"166"	"application/pdf"	"application/x-endnote-refer"	10
"167"	"application/x-shockwave-flash"	"application/x-endnote-refer"	6
"168"	"audio/mpeg"	"application/x-endnote-refer"	4
"169"	"image/gif"	"application/x-endnote-refer"	3
"170"	"text/html"	"application/x-endnote-refer"	21
"171"	"text/plain"	"application/x-endnote-refer"	1165
"172"	"video/x-ms-wmv"	"application/x-endnote-refer"	1
"174"	"application/xhtml+xml"	"application/x-gzip"	956
"175"	"text/html"	"application/x-gzip"	11
"176"	"application/x-bplist"	"application/xhtml+xml"	1
"177"	"application/xml"	"application/xhtml+xml"	4
"178"	"application/zip"	"application/xhtml+xml"	1
"179"	"ISO_8859-1"	"application/xhtml+xml"	16070
"180"	"text/html"	"application/xhtml+xml"	39729
"181"	"text/plain"	"application/xhtml+xml"	440
"182"	"text/plain"	"application/xml"	262
"183"	"text/plain"	"application/x-ofx"	4
"184"	"video/x-ms-wmv"	"application/x-rar-compressed"	1
"186"	"application/xml"	"application/x-sh"	2
"187"	"message/news"	"application/x-sh"	68
"188"	"message/rfc822"	"application/x-sh"	247
"189"	"text/html"	"application/x-sh"	34
"190"	"text/plain"	"application/x-sh"	1497
"192"	"application/x-gtar"	"application/x-tar"	7820
"193"	"application/xhtml+xml"	"application/x-tar"	10
"194"	"message/news"	"application/x-tar"	1
"195"	"text/html"	"application/x-tar"	21
"196"	"text/plain"	"application/x-tar"	117
"197"	"application/epub+zip"	"application/zip"	84
"199"	"application/vnd.adobe.air-application-installer-package+zip"	"application/zip"	260
"200"	"application/vnd.adobe.apollo-application-installer-package+zip"	"application/zip"	1
"201"	"application/vnd.android.package-archive"	"application/zip"	24
