ID	name	mime	release year	comments
1	Digital Audio Compression (AC-3)	audio/ac3		
2	AAC			
3	Audio Interchange File Format (AIFF)	audio/aiff,audio/x-aiff	1988	
4	Adaptive Multi-Rate Speech Codec	audio/AMR,audio/3gpp	1999	http://www.online-convert.com/file-format/3ga  http://www.online-convert.com/file-format/amr
5	Advanced Systems Format (ASF)	audio/asf,application/vnd.ms-asf		http://www.digitalpreservation.gov/formats/fdd/fdd000067.shtml
6	Audible.Com File Format	audio/audible,audio/x-pn-audibleaudio		http://www.digitalpreservation.gov/formats/fdd/fdd000103.shtml
7	Downloadable Sounds Format			http://www.digitalpreservation.gov/formats/fdd/fdd000118.shtml
8	Direct Stream Digital Interchange File Format, DSDIFF, Version 1.5			http://www.digitalpreservation.gov/formats/fdd/fdd000245.shtml
9	Digital Theater Systems (DTS)			http://www.digitalpreservation.gov/formats/fdd/fdd000232.shtml
10	FLAC (Free Lossless Audio Codec), Version 1.1.2	audio/flac,audio/x-flac	2001	http://www.digitalpreservation.gov/formats/fdd/fdd000198.shtml  https://en.wikipedia.org/wiki/FLAC
11	Electronic Arts Interchange File Format 1985 (EA IFF 85)			http://www.digitalpreservation.gov/formats/fdd/fdd000115.shtml
12	Linear Pulse Code Modulated Audio (LPCM)			
13	Matroska Multimedia Container	audio/x-matroska		http://www.digitalpreservation.gov/formats/fdd/fdd000342.shtml
14	Musical Instrument Digital Interface (MIDI) Sequence Data	audio/midi,audio/mid,audio/m,audio/x-midi,application/x-midi	1983	http://www.online-convert.com/file-format/midi  https://en.wikipedia.org/wiki/MIDI http://www.digitalpreservation.gov/formats/fdd/fdd000119.shtml
15	Module Music Formats (Mods)	application/playerpro,audio/med,audio/x-mod		http://www.digitalpreservation.gov/formats/fdd/fdd000126.shtml
16	MPEG-1 and MPEG-2 Layer II Audio Encoding	audio/mpeg	1993	http://www.digitalpreservation.gov/formats/fdd/fdd000338.shtml https://en.wikipedia.org/wiki/MPEG-1_Audio_Layer_II
17	MP3 (common name). MPEG Layer III audio encoding is defined in two ISO/IEC specification families (MPEG-1: 11172-3 and MPEG-2: 13818-3). 	audio/mp3,audio/x-mp3		http://www.digitalpreservation.gov/formats/fdd/fdd000105.shtml
18	Ogg File Format	application/ogg,audio/x-ogg,application/x-ogg,audio/ogg	1993	http://www.digitalpreservation.gov/formats/fdd/fdd000026.shtml https://en.wikipedia.org/wiki/Ogg#History
19	RealAudio	application/vnd.rn-realmedia,audio/vnd.rn-realaudio	1995	http://www.digitalpreservation.gov/formats/fdd/fdd000051.shtml https://en.wikipedia.org/wiki/RealAudio
21	Shorten Lossless Audio Compression Format, Version 3.5.1			http://www.digitalpreservation.gov/formats/fdd/fdd000199.shtml
23	Speex Audio Codec, Version 1.2	audio/speex		http://www.digitalpreservation.gov/formats/fdd/fdd000259.shtml
24	WAVE. Waveform Audio File Format	audio/wav,audio/wave,audio/x-wav,audio/vnd.wave,audio/x-pn-wav	1991	http://www.digitalpreservation.gov/formats/fdd/fdd000001.shtml https://en.wikipedia.org/wiki/WAV
25	WMA (Windows Media Audio) File Format	audio/x-ms-wma	2004	http://www.digitalpreservation.gov/formats/fdd/fdd000027.shtml https://www.nationalarchives.gov.uk/PRONOM/Format/proFormatSearch.aspx?status=detailReport&id=692
26	XMF, eXtensible Music File Format, Version 1.0	audio/mobile-xmf		http://www.digitalpreservation.gov/formats/fdd/fdd000121.shtml
27	AU Audio File	audio/basic		https://en.wikipedia.org/wiki/Au_file_format  http://www.online-convert.com/file-format/au
28	Core Audio Format	audio/x-caf	2005	https://en.wikipedia.org/wiki/Core_Audio_Format  http://www.online-convert.com/file-format/caf
29	MPEG-4 Part 14 Advanced Audio Coding (AAC) ??	audio/mp4	1997	http://www.online-convert.com/file-format/m4a https://en.wikipedia.org/wiki/Advanced_Audio_Coding
30	 MMF Synthetic Music Mobile Application File			http://www.online-convert.com/file-format/mmf  https://en.wikipedia.org/wiki/Synthetic_music_mobile_application_format 
31	OPUS Audio File	audio/opus	2012	https://en.wikipedia.org/wiki/Opus_%28audio_format%29  http://www.online-convert.com/file-format/opus
32	Qualcomm PureVoice Audio File	audio/qcelp	1999	https://en.wikipedia.org/wiki/QCP  http://www.online-convert.com/file-format/qcp
 				
