ID	name	mime	software	release year	comments
1	Acrobat Distiller 1	application/pdf	Acrobat Distiller 1,Acrobat Distiller 1.0.2 for Macintosh	1993	
2	Acrobat Distiller 2	application/pdf	Acrobat Distiller 2,Acrobat Distiller 2.1 for Windows,Acrobat Distiller 2.1 for Power Macintosh,Acrobat Distiller 2.0 for Windows,Acrobat Distiller 2.1 PE for Windows,Acrobat Distiller 2.1 for Macintosh,Acrobat Distiller 2.0 for Power Macintosh,Acrobat Distiller 2.0 for Macintosh,Acrobat Distiller Daemon 2.1 for SunOS/Solaris (SPARC)	1995	
3	Acrobat Distiller 3	application/pdf	Acrobat Distiller 3,Acrobat Distiller 3.01 for Power Macintosh,Acrobat Distiller 3.01 for Windows,Acrobat Distiller 3.0 for Power Macintosh,Acrobat Distiller 3.0 for Windows,Acrobat Distiller 3.02 for Power Macintosh,Acrobat Distiller Command 3.01 for Solaris 2.3 and later (SPARC),Acrobat Distiller 3.02,Acrobat Distiller Command 3.0 for Solaris 2.3 and later (SPARC),Acrobat Distiller Daemon 3.0 for Solaris 2.3 and later (SPARC),Acrobat Distiller Command 3.02b for Solaris 2.3 and later (SPARC),Acrobat Distiller Daemon 3.01 for Solaris 2.3 and later (SPARC),Acrobat Distiller 3.0 for Macintosh,Acrobat Distiller Daemon 3.02b for Solaris 2.3 and later (SPARC),Acrobat Distiller 3.0.2J (Power Macintosh ),Acrobat Distiller 3.01 for Macintosh,Acrobat Distiller 3.01 pour Power Macintosh,Acrobat Distiller Command 3.01 for HP-UX A.09.01 and later (HPPA),Acrobat Distiller Daemon 3.0 for HP-UX A.09.01 and later (HPPA),Acrobat Distiller 3.0 f r Windows,Acrobat Distiller 3.01 fr Power Macintosh	1996	
4	Acrobat Distiller 4	application/pdf	Acrobat Distiller 4,Acrobat Distiller 4.0 for Windows,Acrobat Distiller 4.05 for Windows,Acrobat Distiller 4.0 for Macintosh,Acrobat Distiller 4.05 for Macintosh,Acrobat Distiller 4.0.2 for Macintosh,Acrobat Distiller 4.05 for Sparc Solaris,Acrobat Distiller 4.0.5  for Macintosh,Acrobat Distiller 4.02 for Windows	1999	
5	Acrobat Distiller 5	application/pdf	Acrobat Distiller 5,Acrobat Distiller 5.0.5 (Windows),Acrobat Distiller 5.0 (Windows),Acrobat Distiller 5.0.5 for Macintosh,Acrobat Distiller 5.00 for Macintosh,Acrobat Distiller 5.0 for Macintosh,Acrobat Distiller Server 5.0.5 (Sparc Solaris),Acrobat Distiller 5.0.2 for Macintosh,Acrobat Distiller 5.002001-01-22:00 for Macintosh,Acrobat Distiller 5.0 for Windows,Acrobat Distiller 5.0.2 (Macintosh),Acrobat Distiller 5.0.1 for Macintosh,Acrobat Distiller 5.0.5 (Macintosh),Acrobat Distiller 5.0.1 f.r Macintosh,Acrobat Distiller 5.0.5 fr Macintosh,Acrobat Distiller 5.0.5 f.r Macintosh,Acrobat Distiller 5.0.5 pour Macintos,Acrobat Distiller 5.002000-12-18:00b3 for Macintosh,Acrobat Distiller 5.0.1 pour Macintos,Acrobat Distiller 5.0.1 fr Macintosh	2001	
6	Acrobat Distiller 6	application/pdf	Acrobat Distiller 6,Acrobat Distiller 6.0 (Windows),Acrobat Distiller 6.0.1 (Windows),Acrobat Distiller 6.0.1 for Macintosh,Acrobat Distiller 6.0 for Macintosh,Acrobat Distiller Server 6.0.1 (Sparc Solaris, Built: 2003-11-03),Acrobat Distiller 6.0.0 for Macintosh,Acrobat Distiller 6.0.0 pour Macintosh	2003	
7	Acrobat Distiller 7	application/pdf	Acrobat Distiller 7,Acrobat Distiller 7.0 (Windows),Acrobat Distiller 7.0.5 (Windows),Acrobat Distiller 7.0.5 for Macintosh,Acrobat Distiller 7.0 for Macintosh	2004	
8	Acrobat Distiller 8	application/pdf	Acrobat Distiller 8,Acrobat Distiller 8.1.0 (Windows),Acrobat Distiller 8.0.0 (Windows),Acrobat Distiller 8.0.0 (Macintosh),Acrobat Distiller 8.1.0 (Macintosh),Acrobat Distiller 8.2.0 (Macintosh)	2006	
9	Acrobat Distiller 9	application/pdf	Acrobat Distiller 9,Acrobat Distiller 9.0.0 (Windows),Acrobat Distiller 9.0.0 (Macintosh),Acrobat Distiller 9.2.0 (Windows),Acrobat Distiller 9.3.0 (Windows),Acrobat Distiller 9.3.2 (Windows),Acrobat Distiller 9.3.3 (Windows)	2008	
10	Rest	application/pdf	-		This enables us including the whole pdf market. 
