ID	name	mime	version	release year	comments
1	Adobe Shockwave Flash version 1	application/x-shockwave-flash	1	1996	
2	Adobe Shockwave Flash version 2	application/x-shockwave-flash	2	1997	
3	Adobe Shockwave Flash version 3	application/x-shockwave-flash	3	1998	
4	Adobe Shockwave Flash version 4	application/x-shockwave-flash	4	1999	
5	Adobe Shockwave Flash version 5	application/x-shockwave-flash	5	2000	
6	Adobe Shockwave Flash version 6	application/x-shockwave-flash	6	2002	
7	Adobe Shockwave Flash version 7	application/x-shockwave-flash	7	2003	
 					
 					
 					
 	 				
