mime	version	software
application/pdf	1.0	Acrobat Distiller 5.0.5 (Windows)
application/pdf	1.1	Acrobat Distiller 4.0 for Windows
application/pdf	1.2	Acrobat Distiller 5.0 (Windows)
application/pdf	1.3	Acrobat Distiller 6.0 (Windows)
application/pdf	1.4	Acrobat Distiller 4.05 for Windows
application/pdf	1.5	Acrobat Distiller 4.0 for Windows
application/pdf	1.6	Acrobat Distiller 4.0 for Macintosh
application/pdf	1.7	Acrobat Distiller 4.05 for Macintosh
application/pdf	1a	Acrobat Distiller 5.0.5 for Macintosh
application/pdf	1a:2003	Acrobat Distiller 6.0.1 (Windows)
application/pdf	1b	Acrobat Distiller 7.0 (Windows)
		Acrobat Distiller 7.0.5 (Windows)
		Acrobat Distiller 5.00 for Macintosh
		Acrobat Distiller 3.01 for Power Macintosh
		Acrobat Distiller 3.01 for Windows
		Acrobat Distiller 6.0.1 for Macintosh
		Acrobat Distiller 3.0 for Power Macintosh
		Acrobat Distiller 3.0 for Windows
		Acrobat Distiller 8.1.0 (Windows)
		Acrobat Distiller 6.0 for Macintosh
		Acrobat Distiller 7.0.5 for Macintosh
		Acrobat Distiller 5.0 for Macintosh
		Acrobat Distiller 7.0 for Macintosh
		Acrobat Distiller 8.0.0 (Windows)
		Acrobat Distiller 8.0.0 (Macintosh)
		Acrobat Distiller 3.02 for Power Macintosh
		Acrobat Distiller Command 3.01 for Solaris 2.3 and later (SPARC)
		Acrobat Distiller 9.0.0 (Windows)
		Acrobat Distiller 8.1.0 (Macintosh)
		Acrobat Distiller 3.02
		Acrobat Distiller 4.0.2 for Macintosh
		Acrobat Distiller Server 6.0.1 (Sparc Solaris, Built: 2003-11-03)
		Acrobat Distiller Server 5.0.5 (Sparc Solaris)
		Acrobat Distiller 5.0.2 for Macintosh
		Acrobat Distiller Command 3.0 for Solaris 2.3 and later (SPARC)
		Acrobat Distiller 2.1 for Windows
		Acrobat Distiller Daemon 3.0 for Solaris 2.3 and later (SPARC)
		Acrobat Distiller 5.002001-01-22:00 for Macintosh
		Acrobat Distiller 4.05 for Sparc Solaris
		Acrobat Distiller 2.1 for Power Macintosh
		Acrobat Distiller 2.0 for Windows
		Acrobat Distiller Command 3.02b for Solaris 2.3 and later (SPARC)
		Acrobat Distiller 9.0.0 (Macintosh)
		Acrobat Distiller 6.0.0 for Macintosh
		Acrobat Distiller 2.1 PE for Windows
		Acrobat Distiller 2.1 for Macintosh
		Acrobat Distiller 4.0.5  for Macintosh
		Acrobat Distiller 5.0 for Windows
		Acrobat Distiller Daemon 3.01 for Solaris 2.3 and later (SPARC)
		Acrobat Distiller 3.0 for Macintosh
		Acrobat Distiller 5.0.2 (Macintosh)
		Acrobat Distiller 2.0 for Power Macintosh
		Acrobat Distiller 2.0 for Macintosh
		Acrobat Distiller 5.0.1 for Macintosh
		Acrobat Distiller 5.0.5 (Macintosh)
		Acrobat Distiller Daemon 3.02b for Solaris 2.3 and later (SPARC)
		Acrobat Distiller 9.2.0 (Windows)
		Acrobat Distiller 9.3.0 (Windows)
		Acrobat Distiller 1.0.2 for Macintosh
		Acrobat Distiller 5.0.1 f.r Macintosh
		Acrobat Distiller 5.0.5 fr Macintosh
		Acrobat Distiller 9.3.2 (Windows)
		Acrobat Distiller 3.0.2J (Power Macintosh )
		Acrobat Distiller 5.0.5 f.r Macintosh
		Acrobat Distiller 5.0.5 pour Macintos
		Acrobat Distiller 9.3.3 (Windows)
		Acrobat Distiller Daemon 2.1 for SunOS/Solaris (SPARC)
		Acrobat Distiller 6.0.0 pour Macintosh
		Acrobat Distiller 5.002000-12-18:00b3 for Macintosh
		Acrobat Distiller 5.0.1 pour Macintos
		Acrobat Distiller 3.01 for Macintosh
		Acrobat Distiller 3.01 pour Power Macintosh
		Acrobat Distiller Command 3.01 for HP-UX A.09.01 and later (HPPA)
		Acrobat Distiller 4.02 for Windows
		Acrobat Distiller Daemon 3.0 for HP-UX A.09.01 and later (HPPA)
		Acrobat Distiller 3.0 f r Windows
		Acrobat Distiller 5.0.1 fr Macintosh
		Acrobat Distiller 8.2.0 (Macintosh)
		Acrobat Distiller 3.01 fr Power Macintosh
